Molecule List Name,Precursor Name,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Explicit Retention Time,Explicit Retention Time Window,Note
LPC,LPC(14:0),526.317,-1,227.202,-1,2.16,0.5,SIL_LPC(16:0)_d9_Lipidyzer
LPC,LPC(16:0),554.346,-1,255.233,-1,2.95,0.5,SIL_LPC(16:0)_d9_Lipidyzer
LPC,LPC(16:1),552.331,-1,253.217,-1,2.34,0.5,SIL_LPC(16:0)_d9_Lipidyzer
LPC,LPC(18:0),582.378,-1,283.264,-1,3.64,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(18:1),580.362,-1,281.249,-1,3.06,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(18:2),578.346,-1,279.233,-1,2.58,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(18:3),576.331,-1,277.217,-1,2.12,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(20:0),610.409,-1,311.3,-1,4.15,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(20:1),608.393,-1,309.28,-1,3.71,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(20:2),606.378,-1,307.264,-1,3.24,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(20:3),604.362,-1,305.249,-1,2.83,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(20:4),602.346,-1,303.233,-1,2.51,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(20:5),600.331,-1,301.217,-1,2.09,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(22:4),630.364,-1,331.264,-1,3.06,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(22:5),628.362,-1,329.249,-1,2.67,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,LPC(22:6),626.346,-1,327.233,-1,2.43,0.5,SIL_LPC(18:1)_d7_SPLASH
LPC,SIL_LPC(16:0)_d9_Lipidyzer,563.2,-1,264.2,-1,2.92,0.5,NA
LPC,SIL_LPC(18:1)_d7_SPLASH,587.409,-1,288.296,-1,3.07,0.5,NA
LPE,LPE(14:0),424.247,-1,227.202,-1,2.24,0.5,SIL_LPE(18:0)_d5_Lipidyzer
LPE,LPE(16:0),452.278,-1,255.233,-1,3.02,0.5,SIL_LPE(18:0)_d5_Lipidyzer
LPE,LPE(16:1),450.263,-1,253.217,-1,2.43,0.5,SIL_LPE(18:0)_d5_Lipidyzer
LPE,LPE(18:0),480.31,-1,283.264,-1,3.73,0.5,SIL_LPE(18:0)_d5_Lipidyzer
LPE,LPE(18:1),478.293,-1,281.249,-1,3.17,0.5,SIL_LPE(18:1)_d7_SPLASH
LPE,LPE(18:2),476.278,-1,279.233,-1,2.64,0.5,SIL_LPE(18:1)_d7_SPLASH
LPE,LPE(18:3),474.263,-1,277.217,-1,2.19,0.5,SIL_LPE(18:1)_d7_SPLASH
LPE,LPE(20:0),508.341,-1,311.3,-1,4.23,0.5,SIL_LPE(18:1)_d7_SPLASH
LPE,LPE(20:1),506.325,-1,309.28,-1,3.79,0.5,SIL_LPE(18:1)_d7_SPLASH
LPE,LPE(20:2),504.31,-1,307.264,-1,3.33,0.5,SIL_LPE(18:1)_d7_SPLASH
LPE,LPE(20:3),502.294,-1,305.249,-1,2.91,0.5,SIL_LPE(18:1)_d7_SPLASH
LPE,LPE(20:4),500.278,-1,303.233,-1,2.59,0.5,SIL_LPE(18:1)_d7_SPLASH
LPE,LPE(20:5),498.263,-1,301.217,-1,2.15,0.5,SIL_LPE(18:1)_d7_SPLASH
LPE,LPE(22:4),528.31,-1,331.264,-1,3.14,0.5,SIL_LPE(18:1)_d7_SPLASH
LPE,LPE(22:5),526.294,-1,329.249,-1,2.72,0.5,SIL_LPE(18:1)_d7_SPLASH
LPE,LPE(22:6),524.278,-1,327.233,-1,2.51,0.5,SIL_LPE(18:1)_d7_SPLASH
LPE,SIL_LPE(18:0)_d5_Lipidyzer,485.33,-1,288.3,-1,3.71,0.5,NA
LPE,SIL_LPE(18:1)_d7_SPLASH,485.343,-1,288.298,-1,3.15,0.5,NA
LPG,LPG(14:0),455.241,-1,227.202,-1,1.7,0.5,SIL_LPG(17:1)_d7_Lyso
LPG,LPG(16:0),483.273,-1,255.233,-1,2.42,0.5,SIL_LPG(17:1)_d7_Lyso
LPG,LPG(16:1),481.257,-1,253.217,-1,1.97,0.5,SIL_LPG(17:1)_d7_Lyso
LPG,LPG(18:0),511.304,-1,283.264,-1,3.1,0.5,SIL_LPG(17:1)_d7_Lyso
LPG,LPG(18:1),509.289,-1,281.249,-1,2.56,0.5,SIL_LPG(17:1)_d7_Lyso
LPG,LPG(18:2),507.273,-1,279.233,-1,2.13,0.5,SIL_LPG(17:1)_d7_Lyso
LPG,LPG(18:3),505.257,-1,277.217,-1,1.71,0.5,SIL_LPG(17:1)_d7_Lyso
LPG,LPG(20:0),539.335,-1,311.3,-1,2.96,0.5,SIL_LPG(17:1)_d7_Lyso
LPG,LPG(20:1),537.32,-1,309.28,-1,3.19,0.5,SIL_LPG(17:1)_d7_Lyso
LPG,LPG(20:2),535.304,-1,307.264,-1,2.71,0.5,SIL_LPG(17:1)_d7_Lyso
LPG,LPG(20:3),533.289,-1,305.249,-1,2.3,0.5,SIL_LPG(17:1)_d7_Lyso
LPG,LPG(20:4),531.273,-1,303.233,-1,1.91,0.5,SIL_LPG(17:1)_d7_Lyso
LPG,LPG(20:5),529.257,-1,301.217,-1,1.79,0.5,SIL_LPG(17:1)_d7_Lyso
LPG,LPG(22:4),559.304,-1,331.264,-1,3.79,0.5,SIL_LPG(17:1)_d7_Lyso
LPG,LPG(22:5),557.289,-1,329.249,-1,2.92,0.5,SIL_LPG(17:1)_d7_Lyso
LPG,LPG(22:6),555.273,-1,327.233,-1,2.96,0.5,SIL_LPG(17:1)_d7_Lyso
LPG,SIL_LPG(17:1)_d7_Lyso,495.272,-1,267.233,-1,2.24,0.5,NA
LPI,LPI(14:0),543.258,-1,227.202,-1,1.6,0.5,SIL_LPI(17:1)_d7_Lyso
LPI,LPI(16:0),571.289,-1,255.233,-1,2.26,0.5,SIL_LPI(17:1)_d7_Lyso
LPI,LPI(16:1),569.273,-1,253.217,-1,1.76,0.5,SIL_LPI(17:1)_d7_Lyso
LPI,LPI(18:0),599.32,-1,283.264,-1,2.98,0.5,SIL_LPI(17:1)_d7_Lyso
LPI,LPI(18:1),597.305,-1,281.249,-1,2.42,0.5,SIL_LPI(17:1)_d7_Lyso
